과목명,학년,구분,개설학과,시수,과목코드,교수,시간
사회봉사(1),1,일반선택,대학 학과공통,1/0/2,1000-9083,민경택,
교육봉사 2,1,교직,대학 학과공통,1/0/2,1000-9232,박환보,
교육봉사 1,1,교직,대학 학과공통,1/0/2,1000-9236,박환보,
성인지교육1,1,교직,대학 학과공통,0/0/0,1000-9581,박환보,
성인지교육2,1,교직,대학 학과공통,0/0/0,1000-9582,박환보,
성인지교육3,1,교직,대학 학과공통,0/0/0,1000-9583,박환보,
성인지교육4,1,교직,대학 학과공통,0/0/0,1000-9584,박환보,
현대사회와 직업의 세계,1,교양(일반),대학 학과공통,2/2/0,1001-7001,이명섭,화14:00~16:00(교111)
현대사회와 직업의 세계,1,교양(일반),대학 학과공통,2/2/0,1001-7001,이명섭,화16:00~18:00(교111)
직업과 진로,1,교양(일반),대학 학과공통,2/2/0,1001-7002,이명섭,목14:00~16:00(교111)
직업과 진로,1,교양(일반),대학 학과공통,2/2/0,1001-7002,이명섭,목16:00~18:00(교111)
스포츠융복합산업론,1,교양(일반),대학 학과공통,3/3/0,1001-7003,최재선,수12:00~13:30(교103A)| 금13:30~15:00(교103A)
현대인의 경제활동과 법률,1,교양(일반),대학 학과공통,3/3/0,1001-7007,김종희,목15:00~18:00(교105)
표현과예술심리치료,1,교양(일반),대학 학과공통,3/3/0,1001-7008,고홍월,화15:00~18:00(교208)| 화16:30~18:00(교208)
과학과문화,1,교양(일반),대학 학과공통,3/3/0,1001-7009,최인철,목10:00~13:00(농2402)
정의란무엇인가,1,교양(일반),대학 학과공통,3/3/0,1001-7010,신진,금10:00~13:00(교213)
범죄의진실과오해,1,교양(일반),대학 학과공통,3/3/0,1001-7012,곽대훈,월10:30~12:00(교111)| 화10:30~12:00(교214)
범죄의진실과오해,1,교양(일반),대학 학과공통,3/3/0,1001-7012,곽대훈,월16:30~18:00(교111)| 화13:30~15:00(교214)
공존을위한창의적설계,1,교양(일반),대학 학과공통,3/3/0,1001-7013,권재열,금09:00~12:00(교101)
분단현실과통일한국의미래,1,교양(일반),대학 학과공통,3/3/0,1001-7014,김학성,월10:30~12:00(사강403)| 수10:30~12:00(사강403)
창의적발상론,1,교양(일반),대학 학과공통,3/3/0,1001-7015,박경혜,금09:00~12:00(교408)
4차산업혁명과수학,1,교양(일반),대학 학과공통,3/3/0,1001-7018,이윤희,
생활속텍스트의이해,1,교양(일반),대학 학과공통,3/3/0,1001-7019,고홍월,목15:00~18:00(교213)
말하기와토론,1,교양(일반),대학 학과공통,3/3/0,1001-7020,김수정,월16:30~18:00(사강404)| 화16:30~18:00(사강404)
마음과행동의뇌과학,1,교양(일반),대학 학과공통,3/3/0,1001-7022,한석원,월12:00~13:30(사0115)| 화12:00~13:30(사0115)
K-Culture와문화마케팅,1,교양(일반),대학 학과공통,3/3/0,1001-7026,황복희,월13:30~15:00(글로벌104)| 수13:30~15:00(글로벌104)
사회적 가치와 개인의 자유,1,교양(일반),대학 학과공통,3/3/0,1001-7030,류광해,수13:30~15:00(교103A)| 금12:00~13:30(교103A)
포스트휴먼시대의 관계읽기,1,교양(일반),대학 학과공통,3/3/0,1001-7031,김정숙,금15:00~18:00(교207)
4차산업혁명시대를위한인문학입문,1,교양(일반),대학 학과공통,3/3/0,1001-7034,김경배,수14:00~15:00(교106A)| 금13:00~15:00(교106A)
글로벌 네트워킹과 협력: 기본 이해와 실제,1,교양(일반),대학 학과공통,3/3/0,1001-7037,권재열,목09:00~12:00(교213)
미래지속가능 웰니스융합,1,교양(일반),대학 학과공통,2/2/0,1001-7038,송영신,월16:00~18:00(교408)
프로그래밍언어,1,교양(일반),대학 학과공통,2/1/2,1002-7002,박승환,월09:00~10:00(공4413)| 월10:00~12:00(공4413)
프로그래밍언어,1,교양(일반),대학 학과공통,2/1/2,1002-7002,박승환,월12:00~13:00(공4413)| 월13:00~15:00(공4413)
프로그래밍언어,1,교양(일반),대학 학과공통,2/1/2,1002-7002,박승환,월15:00~16:00(공4413)| 월16:00~18:00(공4413)
프로그래밍언어,1,교양(일반),대학 학과공통,2/1/2,1002-7002,노경숙,목09:00~10:00(산학연0210)| 목10:00~12:00(산학연0210)
프로그래밍언어,1,교양(일반),대학 학과공통,2/1/2,1002-7002,노경숙,목14:00~15:00(산학연0210)| 목15:00~17:00(산학연0210)
컴퓨터과학적사고,1,교양(일반),대학 학과공통,3/2/2,1004-7002,신효정,월10:00~12:00(교102A)| 수15:00~17:00(교102A)
컴퓨터과학적사고,1,교양(일반),대학 학과공통,3/2/2,1004-7002,최미선,화10:00~12:00(교102A)| 금16:00~18:00(교102A)
컴퓨터과학적사고,1,교양(일반),대학 학과공통,3/2/2,1004-7002,최미선,월16:00~18:00(교102A)| 수13:00~15:00(교102A)
컴퓨터과학적사고,1,교양(일반),대학 학과공통,3/2/2,1004-7002,서정주,화12:00~14:00(교102A)| 금12:00~14:00(교102A)
컴퓨터과학적사고,1,교양(일반),대학 학과공통,3/2/2,1004-7002,이은주,화16:00~18:00(교102A)| 목10:00~12:00(교102A)
컴퓨터과학적사고,1,교양(일반),대학 학과공통,3/2/2,1004-7002,이민선,목14:00~16:00(교102A)| 금10:00~12:00(교102A)
인공지능과 미래사회,1,교양(일반),대학 학과공통,3/3/0,1004-7003,최훈,월13:30~15:00(공5409)| 화15:00~16:30(공5410)
인공지능과 미래사회,1,교양(일반),대학 학과공통,3/3/0,1004-7003,이홍로,월10:30~12:00(교404A)| 수09:00~10:30(교404A)
인공지능과 미래사회,1,교양(일반),대학 학과공통,3/3/0,1004-7003,전중양,
인공지능과 미래사회,1,교양(일반),대학 학과공통,3/3/0,1004-7003,이상길,토09:00~12:00(다2356)
인공지능융합기초,1,교양(일반),대학 학과공통,3/3/0,1004-7004,한석원,화15:00~16:30(사0115)| 목15:00~16:30(사0115)
파이썬프로그래밍,1,교양(일반),대학 학과공통,3/2/2,1004-7005,천은영,월12:00~14:00(교102A)| 수09:00~11:00(교102A)
파이썬프로그래밍,1,교양(일반),대학 학과공통,3/2/2,1004-7005,천은영,월14:00~16:00(교102A)| 수11:00~13:00(교102A)
파이썬프로그래밍,1,교양(일반),대학 학과공통,3/2/2,1004-7005,김대엽,화14:00~16:00(교102A)| 금16:00~18:00(교104A)
데이터분석 입문과활용,1,교양(일반),대학 학과공통,3/2/2,1004-7006,신효정,화14:00~16:00(교106A)| 목16:00~18:00(교106A)
컴퓨터 이해와 활용,1,교양(일반),대학 학과공통,3/3/0,1004-7007,김상형,
컴퓨터 이해와 활용,1,교양(일반),대학 학과공통,3/3/0,1004-7007,한희원,
컴퓨터 이해와 활용,1,교양(일반),대학 학과공통,3/3/0,1004-7007,한희원,
컴퓨터 이해와 활용,1,교양(일반),대학 학과공통,3/3/0,1004-7007,김대엽,
컴퓨터 이해와 활용,1,교양(일반),대학 학과공통,3/3/0,1004-7007,김상형,월16:30~18:00(교214)| 수15:00~16:30(교214)
컴퓨터 이해와 활용,1,교양(일반),대학 학과공통,3/3/0,1004-7007,이민선,수13:30~15:00(교204A)| 금12:00~13:30(교204A)
정보보호입문과활용,1,교양(일반),대학 학과공통,3/2/2,1004-7008,원유재,월10:00~12:00(공5405)| 수10:00~12:00(공5415)
C프로그래밍기초,1,교양(일반),대학 학과공통,3/2/2,1004-7010,서정주,화15:00~17:00(교101)| 금14:00~16:00(교102A)
가상현실 이해와 활용,1,교양(일반),대학 학과공통,3/2/2,1004-7012,노창배,화09:00~11:00(공5414)| 금16:00~18:00(교105)
법학개론,1,교양(일반),대학 학과공통,3/3/0,1005-7001,서보국,목15:00~16:30(교404A)
생활법률,1,교양(일반),대학 학과공통,3/3/0,1005-7003,류광해,수10:30~12:00(교209A)| 금09:00~10:30(교209A)
생활법률,1,교양(일반),대학 학과공통,3/3/0,1005-7003,신현석,화15:00~18:00(법106)
생활법률,1,교양(일반),대학 학과공통,3/3/0,1005-7003,홍승희,화15:00~16:30(교307)| 금16:30~18:00(교307)
인터넷과 법,1,교양(일반),대학 학과공통,3/3/0,1005-7004,김도경,수13:30~15:00(교407)| 금12:00~13:30(교407)
공학법제,1,교양(일반),대학 학과공통,3/3/0,1005-7005,김도경,화09:00~10:30(교407)| 금10:30~12:00(교407)
인권과 법,1,교양(일반),대학 학과공통,3/3/0,1005-7006,송영현,수10:30~12:00(교407)| 금09:00~10:30(교407)
영화속법률,1,교양(일반),대학 학과공통,3/3/0,1005-7007,민지원,목10:30~12:00(교202A)| 금13:30~15:00(교204A)
창업과법률,1,교양(일반),대학 학과공통,3/3/0,1005-7008,이형욱,금15:00~18:00(교103A)
국제사회와법이야기,1,교양(일반),대학 학과공통,3/3/0,1005-7009,도경옥,화15:00~18:00(법101)
교양 헌법,1,교양(일반),대학 학과공통,3/3/0,1005-7010,명재진,목09:00~12:00(법106)
교양 형법,1,교양(일반),대학 학과공통,3/3/0,1005-7012,구길모,수09:00~12:00(법106)
처음 만나는 민주주의,1,교양(일반),대학 학과공통,3/3/0,1005-7013,이승택,수12:00~15:00(법108)
국제개발협력의 이해,1,교양(일반),대학 학과공통,3/3/0,1006-7001,김재한,금12:00~15:00(교110)
슬기로운 대학생활,1,일반선택,대학 학과공통,1/0/2,1100-9001,고홍월,
3D 프린팅 입문,1,일반선택,대학 학과공통,1/0/2,1100-9002,양선,월16:00~18:00(시너지실(인재개발원2층))
창업실무 특강,1,일반선택,대학 학과공통,1/0/2,1100-9003,유태우,목12:00~14:00(마루빌(인재개발원3층))
스마트팜 기술창업 실습,1,일반선택,대학 학과공통,1/0/2,1100-9004,이영우,수16:00~18:00(마루빌(인재개발원3층))
공학입문,1,교양(일반),대학 학과공통,3/3/0,1190-7004,황인찬,수10:30~12:00(공1312)| 금09:00~10:30(공1312)
공학입문,1,교양(일반),대학 학과공통,3/3/0,1190-7004,조은현,수10:30~12:00(공1316)| 금09:00~10:30(공1316)
공학입문,1,교양(일반),대학 학과공통,3/3/0,1190-7004,황인찬,월13:30~15:00(공1108)| 수12:00~13:30(공1108)
공학입문,1,교양(일반),대학 학과공통,3/3/0,1190-7004,조은현,월16:30~18:00(공1312)| 수15:00~16:30(공1312)
CEO의리더십과창업,1,교양(일반),대학 학과공통,3/3/0,1550-7001,김완재,수14:00~17:00(개발실(인재개발원3층))
독서지도의 이해,1,일반선택,대학 학과공통,3/3/0,5000-0002,,
알기 쉬운 기업 살림살이,1,일반선택,대학 학과공통,3/3/0,5000-0006,,
에듀테크의 이해,1,일반선택,대학 학과공통,3/3/0,5000-0007,,
인류와 문명의 이해,1,일반선택,대학 학과공통,3/3/0,5000-0024,,화14:00~17:00(글로벌104)
수목보호학,1,일반선택,대학 학과공통,3/3/0,5000-0152,,
빅데이터개론,1,일반선택,대학 학과공통,3/3/0,5000-0189,,화11:00~12:00(글로벌104)| 목09:00~11:00(글로벌104)
빅데이터이해및활용,1,일반선택,대학 학과공통,3/3/0,5000-0190,,월11:00~13:00(글로벌104)| 수11:00~12:00(글로벌104)
혁신을위한모순해결,1,일반선택,대학 학과공통,2/2/0,5000-0350,,
로마문화와 함께 배우는 교양 라틴어,1,일반선택,대학 학과공통,3/3/0,5000-0351,,
비유와 우화로 보는 철학 산책,1,일반선택,대학 학과공통,3/3/0,5000-0352,,
생명의 파노라마,1,일반선택,대학 학과공통,3/3/0,5000-0353,,
컴퓨팅사고력(일반),1,일반선택,대학 학과공통,3/3/0,5000-0597,,
미디어위키를 활용한 역사데이터 편찬,1,일반선택,대학 학과공통,1/1/0,5000-0598,,월14:00~15:00
빅데이터로 읽는 한국근대사 1,1,일반선택,대학 학과공통,1/1/0,5000-0599,,수10:00~11:00
잉글리시 커뮤니케이션,1,일반선택,대학 학과공통,3/3/0,5000-0600,,
과학과 문화,1,일반선택,대학 학과공통,3/3/0,5000-0601,,
음성데이터의 특성과 처리 1: 기초 음성학과 음향 분석,1,일반선택,대학 학과공통,3/3/0,5000-0602,,목17:00~20:00
Python 프로그래밍,1,일반선택,대학 학과공통,3/3/0,5000-0630,,수10:00~11:00(글로벌104)| 금09:00~11:00(글로벌104)
심리학의 이해,1,일반선택,대학 학과공통,3/3/0,5911-9709,,
영어로공부하는아시아경제의이슈,1,일반선택,대학 학과공통,3/3/0,5911-9716,,
생활속의헌법탐험,1,일반선택,대학 학과공통,3/3/0,5911-9753,,
중국문자의이해,1,일반선택,대학 학과공통,3/3/0,5911-9755,,
생활속의 한자,1,일반선택,대학 학과공통,3/3/0,5911-9760,,
메가트렌드와 미래디자인,1,일반선택,대학 학과공통,2/2/0,5911-9769,,
문화창업마케팅,1,일반선택,대학 학과공통,3/3/0,5911-9770,,
다문화사회의 이해,1,일반선택,대학 학과공통,3/3/0,5911-9776,,
소비문화,1,일반선택,대학 학과공통,3/3/0,5911-9777,,
평화사상과 통일의 길,1,일반선택,대학 학과공통,2/2/0,5911-9781,,
디지털 시대의 영상과 문화,1,일반선택,대학 학과공통,3/3/0,5911-9782,,
분쟁의 세계지리,1,일반선택,대학 학과공통,3/3/0,5911-9785,,
리더십,1,일반선택,대학 학과공통,3/3/0,5911-9786,,
한옥개론,1,일반선택,대학 학과공통,3/3/0,5911-9787,,
환경문제와 윤리,1,일반선택,대학 학과공통,2/2/0,5911-9789,,
우주로의 여행,1,일반선택,대학 학과공통,3/3/0,5911-9791,,
여행과문화,1,일반선택,대학 학과공통,3/3/0,5911-9792,,
강원문화사,1,일반선택,대학 학과공통,3/3/0,5911-9793,,
바이오섬유소재화학,1,일반선택,대학 학과공통,3/3/0,5911-9794,,
서양고대철학,1,일반선택,대학 학과공통,3/3/0,5911-9795,,
화훼산업론,1,일반선택,대학 학과공통,3/3/0,5911-9796,,
중국고대철학,1,일반선택,대학 학과공통,3/3/0,5911-9797,,
창업의이해,1,일반선택,대학 학과공통,2/2/0,5911-9798,,
심리학의 이해,1,일반선택,대학 학과공통,3/3/0,5911-9799,,
고사와 성어의 탐구,1,일반선택,대학 학과공통,2/2/0,5911-9800,,
무역실무,1,일반선택,대학 학과공통,3/3/0,5911-9801,,
한국지형여행,1,일반선택,대학 학과공통,3/3/0,5911-9803,,
불교가 묻고 내가 답한다,1,일반선택,대학 학과공통,3/3/0,5911-9804,,
산업경영의이해,1,일반선택,대학 학과공통,2/2/0,5911-9806,,
도시개발론,1,일반선택,대학 학과공통,3/3/0,5911-9807,,
아시아공동체의 과학과 문명,1,일반선택,대학 학과공통,3/3/0,5911-9809,,목13:00~16:00(글로벌104)
대전학,1,일반선택,대학 학과공통,2/2/0,5915-9979,,수16:00~18:00
인문학의향기,1,일반선택,대학 학과공통,2/2/0,5915-9980,,화16:00~18:00
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,안기돈,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,안기돈,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,안기돈,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,윤혜영,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,윤혜영,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,박기문,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,박기문,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,김영아,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,이윤희,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,이윤희,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,이윤희,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,이윤희,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,이윤희,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,이윤희,
취업과 창업,2,교양(공통기초),대학 학과공통,1/1/0,1001-8005,이소영,월13:00~14:00(진료실기센터106)
백마인턴십 Ⅱ,3,일반선택,대학 학과공통,18/0/36,1000-9133,이명섭,
안보학,3,일반선택,대학 학과공통,3/1/4,1000-9573,학군단교관,월15:00~16:00(학군단2층강의실)| 월16:00~18:00(학군단2층강의실)| 금08:00~10:00(학군단2층강의실)
조직리더십,4,일반선택,대학 학과공통,3/1/4,1000-9575,학군단교관,월08:00~09:00(학군단3층강의실)| 월09:00~10:00(학군단3층강의실)| 금14:00~17:00(학군단3층강의실)
미래설계상담1,1,전공(기초),인문대학 국어국문학과,0/0/0,1100-1001,김기영,
국문학개론,1,전공(핵심),인문대학 국어국문학과,3/3/0,1101-1001,윤보윤,월16:00~17:00(인0104)| 목14:00~16:00(인0104)
국문학개론,1,전공(핵심),인문대학 국어국문학과,3/3/0,1101-1001,윤준섭,월13:00~15:00(인0104)| 수13:00~14:00(인0104)
국어학개론,1,전공(핵심),인문대학 국어국문학과,3/3/0,1101-1002,이금영,화10:00~12:00(인0104)| 목11:00~12:00(인0104)
국어학개론,1,전공(핵심),인문대학 국어국문학과,3/3/0,1101-1002,박재희,화15:00~16:00(인0104)| 수10:00~12:00(인0104)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,조혜진,월10:00~12:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이상숙,월12:00~14:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,정기선,월14:00~16:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김현화,월16:00~18:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,박성준,화09:00~11:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,박성준,화11:00~13:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,권양현,화14:00~16:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,유소연,화16:00~18:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,조혜진,수09:00~11:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,임은경,수13:00~15:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,유정미,수15:00~17:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,한주희,목09:00~11:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이하은,목12:00~14:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,정기선,목14:00~16:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이하은,목16:00~18:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,백윤경,월10:00~12:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이상숙,월14:00~16:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,윤준섭,화13:00~15:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,신다슬,수11:00~13:00(교306)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,신효경,월10:00~12:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,신효경,월12:00~14:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,박상완,월14:00~16:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,박상완,월16:00~18:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,고영진,화10:00~12:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,고영진,화12:00~14:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김성옥,화14:00~16:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,유현승,화16:00~18:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,백윤경,수09:00~11:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김정인,수11:00~13:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김정인,수13:00~15:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이정은,수15:00~17:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김순재,목10:00~12:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김순재,목12:00~14:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김성옥,목14:00~16:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,유현승,목16:00~18:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김성옥,금10:00~12:00(교201)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,홍희정,수13:00~15:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,류상범,목11:00~13:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,윤보윤,월12:00~14:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,양미영,월10:00~12:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,윤보윤,월14:00~16:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이정은,월16:00~18:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,송미영,화09:00~11:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,박종덕,화11:00~13:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김기영,화13:00~15:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,임은경,화16:00~18:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,함병호,수10:00~12:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,장지현,수12:00~14:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,조혜진,수14:00~16:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,임은경,수16:00~18:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김성옥,목09:00~11:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이근영,목12:00~14:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김기영,목14:00~16:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,신효경,목16:00~18:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,류상범,금09:00~11:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,한주희,금11:00~13:00(교207)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이하은,화09:00~11:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,오영록,화16:00~18:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,오세란,월10:00~12:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,오세란,월12:00~14:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김순재,목15:00~17:00(교211)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,유현승,월16:00~18:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김정인,수10:00~12:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,김정인,수12:00~14:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이근영,수14:00~16:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이근영,수16:00~18:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,권양현,금10:00~12:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,신다슬,수16:00~18:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,류상범,목09:00~11:00(교211)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,박종덕,목11:00~13:00(교211)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,백민정,화09:00~11:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,백민정,화11:00~13:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,권양현,목09:00~11:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,한주희,목11:00~13:00(교208)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,함병호,목14:00~16:00(교210)
기초글쓰기,1,,인문대학 국어국문학과,2/2/0,1101-7001,이윤희,화10:00~12:00(교105)
한국어문학,1,,인문대학 국어국문학과,3/3/0,1101-7004,양미영,수13:30~15:00(교305)| 금12:00~13:30(교305)
영화와문학,1,,인문대학 국어국문학과,3/3/0,1101-7006,조규찬,월10:30~12:00(교205)| 수09:00~10:30(교205)
영화와문학,1,,인문대학 국어국문학과,3/3/0,1101-7006,조규찬,월09:00~10:30(교103A)| 수10:30~12:00(교103A)
화법과생활,1,,인문대학 국어국문학과,3/3/0,1101-7007,장지현,월10:30~12:00(교305)| 수09:00~10:30(교305)
공학논문작성과 발표,1,,인문대학 국어국문학과,3/3/0,1101-7008,김현화,월10:30~12:00(교301)| 수09:00~10:30(교301)
자연과학글쓰기,1,,인문대학 국어국문학과,3/3/0,1101-7013,오영록,월15:00~16:30(교301)| 목16:30~18:00(교301)
한국어 쓰기 1,1,,인문대학 국어국문학과,3/3/0,1101-7014,장지현,월12:00~13:30(교301)| 목13:30~15:00(교301)
한국어 쓰기 1,1,,인문대학 국어국문학과,3/3/0,1101-7014,유소연,월13:30~15:00(교301)| 수12:00~13:30(교301)
한국어 쓰기 2,1,,인문대학 국어국문학과,3/3/0,1101-7015,한주희,수10:30~12:00(교301)| 금09:00~10:30(교301)
한국어 쓰기 2,1,,인문대학 국어국문학과,3/3/0,1101-7015,이정은,화13:30~15:00(교301)| 목12:00~13:30(교301)
콘텐츠 창작 글쓰기,1,,인문대학 국어국문학과,3/3/0,1101-7017,유정미,수13:30~15:00(교205)| 금12:00~13:30(교205)
콘텐츠 창작 글쓰기,1,,인문대학 국어국문학과,3/3/0,1101-7017,윤준섭,월16:00~18:00(교101)| 수15:00~16:00(교101)
현대사회와 실용 글쓰기,1,,인문대학 국어국문학과,3/3/0,1101-7018,홍희정,월16:30~18:00(교103A)| 수15:00~16:30(교103A)
현대사회와 실용 글쓰기,1,,인문대학 국어국문학과,3/3/0,1101-7018,이윤희,월13:30~15:00(교205)| 목10:30~12:00(교205)
미래설계상담3,2,전공(기초),인문대학 국어국문학과,0/0/0,1100-2001,김기영,
국어문법론,2,전공(핵심),인문대학 국어국문학과,3/3/0,1101-2008,이금영,화13:00~15:00(인0104)| 목10:00~11:00(인0104)
영상예술시대의희곡론,2,전공(핵심),인문대학 국어국문학과,3/3/0,1101-2009,윤석진,월17:00~18:00(인0120)| 수10:00~12:00(인0120)
현대시명작읽기,2,전공(심화),인문대학 국어국문학과,3/3/0,1101-2011,이형권,화10:00~12:00(인0120)| 수09:00~10:00(인0120)
시조가사명작감상,2,전공(심화),인문대학 국어국문학과,3/3/0,1101-2013,정기선,월10:00~12:00(인0105)| 화12:00~13:00(인0105)
텍스트의이해와실제,2,전공(심화),인문대학 국어국문학과,3/3/0,1101-2014,유세진,월13:00~14:00(인0120)| 목13:00~15:00(인0120)
미래설계상담5,3,전공(기초),인문대학 국어국문학과,0/0/0,1100-3001,김기영,
